"filename", "language", "YAML", "Markdown", "Dart", "pip requirements", "Python", "Gradle", "Java", "C++", "Swift", "XML", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Java Properties", "Ini", "comment", "blank", "total"
"d:\Proyecto\citasnuevo\functions\rewardTicketCreator\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\rewardTicketCreator\lib\main.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 125
"d:\Proyecto\citasnuevo\functions\rewardTicketCreator\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\rewardTicketSuccesfulShares\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\rewardTicketSuccesfulShares\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\rewardTicketSuccesfulShares\lib\main.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 79
"d:\Proyecto\citasnuevo\functions\rewardTicketSuccesfulShares\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Proyecto\citasnuevo\functions\sendMessages\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 48
"d:\Proyecto\citasnuevo\functions\sendMessages\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Proyecto\citasnuevo\functions\sendMessages\lib\main.dart", "Dart", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 178
